jday	date	hour	solrad	temp	precip	rh	co2
90	'03/31/1990'	18	14.0	21.7	0.0	75.18	400
90	'03/31/1990'	19	0.0	21.1	0.0	81.12	400
90	'03/31/1990'	20	0.0	20.0	0.0	86.93	400
90	'03/31/1990'	21	0.0	20.0	0.0	86.93	400
90	'03/31/1990'	22	0.0	20.0	0.0	89.76	400
90	'03/31/1990'	23	0.0	18.9	0.0	89.69	400
91	'04/01/1990'	0	0.0	18.3	0.0	93.19	400
91	'04/01/1990'	1	0.0	18.9	0.0	93.21	400
91	'04/01/1990'	2	0.0	18.9	0.0	93.21	400
91	'04/01/1990'	3	0.0	18.9	0.0	93.21	400
91	'04/01/1990'	4	0.0	18.9	0.0	93.21	400
91	'04/01/1990'	5	0.0	18.9	0.8	96.25	400
91	'04/01/1990'	6	12.0	18.9	0.0	96.25	400
91	'04/01/1990'	7	109.0	18.9	0.0	96.25	400
91	'04/01/1990'	8	192.0	18.9	0.0	100.0	400
91	'04/01/1990'	9	280.0	19.4	0.0	96.87	400
91	'04/01/1990'	10	395.0	20.6	0.0	92.7	400
91	'04/01/1990'	11	441.0	21.1	0.0	89.83	400
91	'04/01/1990'	12	244.0	21.7	0.0	86.52	400
91	'04/01/1990'	13	408.0	21.1	0.0	87.03	400
91	'04/01/1990'	14	379.0	21.7	0.0	86.52	400
91	'04/01/1990'	15	328.0	22.2	0.0	83.87	400
91	'04/01/1990'	16	260.0	22.2	0.0	87.12	400
91	'04/01/1990'	17	100.0	22.2	0.0	87.12	400
91	'04/01/1990'	18	18.0	22.2	0.0	87.12	400
91	'04/01/1990'	19	0.0	21.7	0.0	89.87	400
91	'04/01/1990'	20	0.0	21.1	0.0	93.31	400
91	'04/01/1990'	21	0.0	21.1	0.0	93.31	400
91	'04/01/1990'	22	0.0	20.6	0.0	96.29	400
91	'04/01/1990'	23	0.0	20.0	0.0	96.27	400
92	'04/02/1990'	0	0.0	19.4	0.0	100.0	400
92	'04/02/1990'	1	0.0	19.4	0.0	100.0	400
92	'04/02/1990'	2	0.0	18.9	0.0	100.0	400
92	'04/02/1990'	3	0.0	18.9	0.0	100.0	400
92	'04/02/1990'	4	0.0	18.3	0.0	100.0	400
92	'04/02/1990'	5	0.0	18.9	0.0	96.25	400
92	'04/02/1990'	6	28.0	18.9	0.0	100.0	400
92	'04/02/1990'	7	105.0	18.9	0.0	100.0	400
92	'04/02/1990'	8	159.0	20.0	0.0	96.27	400
92	'04/02/1990'	9	166.0	20.6	0.0	92.7	400
92	'04/02/1990'	10	331.0	21.1	0.0	87.03	400
92	'04/02/1990'	11	237.0	21.7	0.0	80.67	400
92	'04/02/1990'	12	267.0	21.1	0.3	81.12	400
92	'04/02/1990'	13	533.0	18.9	1.3	93.21	400
92	'04/02/1990'	14	276.0	21.7	0.0	75.18	400
92	'04/02/1990'	15	514.0	22.8	0.0	72.96	400
92	'04/02/1990'	16	420.0	22.2	0.0	75.73	400
92	'04/02/1990'	17	204.0	23.9	0.0	65.59	400
92	'04/02/1990'	18	39.0	23.9	0.0	65.59	400
92	'04/02/1990'	19	0.0	22.8	0.0	70.2	400
