date,     jday, time,  Lvs_Init,Lvs_Apr, Leaf_#,  area,  mass,     Sen_Area, Pntl_Area,Elong_age,CarbRat, SLA,     dropped, state,   GDDSum   
 04/01/1990,  32964,  0,     5.00,     0.00,        1,    0.000,    0.0297,    0.000,    8.152,    0.000,    3.000,    200.0,        0,        0,     0.33
 04/01/1990,  32964,  0,     5.00,     0.00,        2,    0.000,    0.0297,    0.000,   16.111,    0.000,    3.000,    200.0,        0,        0,     0.33
 04/01/1990,  32964,  0,     5.00,     0.00,        3,    0.000,    0.0297,    0.000,   30.388,    0.000,    3.000,    200.0,        0,        0,     0.33
 04/01/1990,  32964,  0,     5.00,     0.00,        4,    0.000,    0.0297,    0.000,   54.478,    0.000,    3.000,    200.0,        0,        0,     0.33
 04/01/1990,  32964,  0,     5.00,     0.00,        5,    0.000,    0.0297,    0.000,   92.455,    0.000,    3.000,    200.0,        0,        0,     0.33
 04/01/1990,  32964,  1,     5.00,     0.00,        1,    0.000,    0.0297,    0.000,    8.152,    0.000,    3.000,    200.0,        0,        0,     0.69
 04/01/1990,  32964,  1,     5.00,     0.00,        2,    0.000,    0.0297,    0.000,   16.111,    0.000,    3.000,    200.0,        0,        0,     0.69
 04/01/1990,  32964,  1,     5.00,     0.00,        3,    0.000,    0.0297,    0.000,   30.388,    0.000,    3.000,    200.0,        0,        0,     0.69
 04/01/1990,  32964,  1,     5.00,     0.00,        4,    0.000,    0.0297,    0.000,   54.478,    0.000,    3.000,    200.0,        0,        0,     0.69
 04/01/1990,  32964,  1,     5.00,     0.00,        5,    0.000,    0.0297,    0.000,   92.455,    0.000,    3.000,    200.0,        0,        0,     0.69
 04/01/1990,  32964,  2,     5.00,     0.00,        1,    0.000,    0.0297,    0.000,    8.152,    0.000,    3.000,    200.0,        0,        0,     1.05
 04/01/1990,  32964,  2,     5.00,     0.00,        2,    0.000,    0.0297,    0.000,   16.111,    0.000,    3.000,    200.0,        0,        0,     1.05
 04/01/1990,  32964,  2,     5.00,     0.00,        3,    0.000,    0.0297,    0.000,   30.388,    0.000,    3.000,    200.0,        0,        0,     1.05
 04/01/1990,  32964,  2,     5.00,     0.00,        4,    0.000,    0.0297,    0.000,   54.478,    0.000,    3.000,    200.0,        0,        0,     1.05
 04/01/1990,  32964,  2,     5.00,     0.00,        5,    0.000,    0.0297,    0.000,   92.455,    0.000,    3.000,    200.0,        0,        0,     1.05
 04/01/1990,  32964,  3,     5.00,     0.00,        1,    0.000,    0.0297,    0.000,    8.152,    0.000,    3.000,    200.0,        0,        0,     1.43
 04/01/1990,  32964,  3,     5.00,     0.00,        2,    0.000,    0.0297,    0.000,   16.111,    0.000,    3.000,    200.0,        0,        0,     1.43
 04/01/1990,  32964,  3,     5.00,     0.00,        3,    0.000,    0.0297,    0.000,   30.388,    0.000,    3.000,    200.0,        0,        0,     1.43
 04/01/1990,  32964,  3,     5.00,     0.00,        4,    0.000,    0.0297,    0.000,   54.478,    0.000,    3.000,    200.0,        0,        0,     1.43
 04/01/1990,  32964,  3,     5.00,     0.00,        5,    0.000,    0.0297,    0.000,   92.455,    0.000,    3.000,    200.0,        0,        0,     1.43
 04/01/1990,  32964,  4,     5.00,     0.00,        1,    0.000,    0.0297,    0.000,    8.152,    0.000,    3.000,    200.0,        0,        0,     1.82
 04/01/1990,  32964,  4,     5.00,     0.00,        2,    0.000,    0.0297,    0.000,   16.111,    0.000,    3.000,    200.0,        0,        0,     1.82
 04/01/1990,  32964,  4,     5.00,     0.00,        3,    0.000,    0.0297,    0.000,   30.388,    0.000,    3.000,    200.0,        0,        0,     1.82
 04/01/1990,  32964,  4,     5.00,     0.00,        4,    0.000,    0.0297,    0.000,   54.478,    0.000,    3.000,    200.0,        0,        0,     1.82
 04/01/1990,  32964,  4,     5.00,     0.00,        5,    0.000,    0.0297,    0.000,   92.455,    0.000,    3.000,    200.0,        0,        0,     1.82
 04/01/1990,  32964,  5,     5.00,     0.00,        1,    0.000,    0.0297,    0.000,    8.152,    0.000,    3.000,    200.0,        0,        0,     2.21
 04/01/1990,  32964,  5,     5.00,     0.00,        2,    0.000,    0.0297,    0.000,   16.111,    0.000,    3.000,    200.0,        0,        0,     2.21
 04/01/1990,  32964,  5,     5.00,     0.00,        3,    0.000,    0.0297,    0.000,   30.388,    0.000,    3.000,    200.0,        0,        0,     2.21
 04/01/1990,  32964,  5,     5.00,     0.00,        4,    0.000,    0.0297,    0.000,   54.478,    0.000,    3.000,    200.0,        0,        0,     2.21
 04/01/1990,  32964,  5,     5.00,     0.00,        5,    0.000,    0.0297,    0.000,   92.455,    0.000,    3.000,    200.0,        0,        0,     2.21
 04/01/1990,  32964,  6,     5.00,     0.00,        1,    0.000,    0.0297,    0.000,    8.152,    0.000,    3.000,    200.0,        0,        0,     2.60
 04/01/1990,  32964,  6,     5.00,     0.00,        2,    0.000,    0.0297,    0.000,   16.111,    0.000,    3.000,    200.0,        0,        0,     2.60
 04/01/1990,  32964,  6,     5.00,     0.00,        3,    0.000,    0.0297,    0.000,   30.388,    0.000,    3.000,    200.0,        0,        0,     2.60
