date,    jday, time,   Leaves, MaturLvs,  Dropped,LA/pl,   LA_dead, LAI,    RH,     LeafWP, PFD,    SolRad, SoilT,  Tair,   Tcan,   ETdmd,     ETsply,    Pn,  Pg,     Respir,   av_gs,  VPD,     Nitr,     N_Dem,    NUpt,     LeafN,    PCRL,     totalDM,shootDM,earDM,  TotleafDM,DrpLfDM,  stemDM, rootDM, SoilRt, MxRtDep,AvailW, solubleC,Note     
04/06/1964, 23473,       0,    0.00,       0,       0,     0.00,     0.00,    0.00,   92.26, -0.0500,    0.00,    0.00,    2.40,   -0.60,    2.40,     0.000,     0.000,  0.0000,  0.0000,  0.0000,  0.0000,    0.000,    0.0094,    0.0000,    0.0000,    0.0075,    0.0000,   0.275,   0.165,    0.00,    0.15,    0.00,    0.02,   0.110,   0.000,     0.0,       0.000,    0.00,              "none"
04/06/1964, 23473,       1,    0.00,       0,       0,     0.00,     0.00,    0.00,   95.69, -0.0500,    0.00,    0.00,    1.77,   -1.10,    1.77,     0.000,     0.000,  0.0000,  0.0000,  0.0000,  0.0000,    0.000,    0.0094,    0.0000,    0.0000,    0.0075,    0.0000,   0.275,   0.165,    0.00,    0.15,    0.00,    0.02,   0.110,   0.000,     0.0,       0.000,    0.00,              "none"
04/06/1964, 23473,       2,    0.00,       0,       0,     0.00,     0.00,    0.00,   92.23, -0.0500,    0.00,    0.00,    1.37,   -1.10,    1.37,     0.000,     0.000,  0.0000,  0.0000,  0.0000,  0.0000,    0.000,    0.0094,    0.0000,    0.0000,    0.0075,    0.0000,   0.275,   0.165,    0.00,    0.15,    0.00,    0.02,   0.110,   0.000,     0.0,       0.000,    0.00,              "none"
04/06/1964, 23473,       3,    0.00,       0,       0,     0.00,     0.00,    0.00,   98.00, -0.0500,    0.00,    0.00,    1.27,   -1.70,    1.27,     0.000,     0.000,  0.0000,  0.0000,  0.0000,  0.0000,    0.000,    0.0094,    0.0000,    0.0000,    0.0075,    0.0000,   0.275,   0.165,    0.00,    0.15,    0.00,    0.02,   0.110,   0.000,     0.0,       0.000,    0.00,              "none"
04/06/1964, 23473,       4,    0.00,       0,       0,     0.00,     0.00,    0.00,   92.23, -0.0500,    0.00,    0.00,    0.92,   -1.10,    0.92,     0.000,     0.000,  0.0000,  0.0000,  0.0000,  0.0000,    0.000,    0.0094,    0.0000,    0.0000,    0.0075,    0.0000,   0.275,   0.165,    0.00,    0.15,    0.00,    0.02,   0.110,   0.000,     0.0,       0.000,    0.00,              "none"
04/06/1964, 23473,       5,    0.00,       0,       0,     0.00,     0.00,    0.00,   98.00, -0.0500,    0.00,   31.00,    0.92,   -1.70,    0.92,     0.000,     0.000,  0.0000,  0.0000,  0.0000,  0.0000,    0.000,    0.0094,    0.0000,    0.0000,    0.0075,    0.0000,   0.275,   0.165,    0.00,    0.15,    0.00,    0.02,   0.110,   0.000,     0.0,       0.000,    0.00,              "none"
04/06/1964, 23473,       6,    0.00,       0,       0,     0.00,     0.00,    0.00,   92.26, -0.0500,    0.00,  134.00,    0.76,   -0.60,    0.76,     0.000,     0.000,  0.0000,  0.0000,  0.0000,  0.0000,    0.000,    0.0094,    0.0000,    0.0000,    0.0075,    0.0000,   0.275,   0.165,    0.00,    0.15,    0.00,    0.02,   0.110,   0.000,     0.0,       0.000,    0.00,              "none"
04/06/1964, 23473,       7,    0.00,       0,       0,     0.00,     0.00,    0.00,   95.69, -0.0500,    0.00,  239.00,    2.04,   -1.10,    2.04,     0.000,     0.000,  0.0000,  0.0000,  0.0000,  0.0000,    0.000,    0.0094,    0.0000,    0.0000,    0.0075,    0.0000,   0.275,   0.165,    0.00,    0.15,    0.00,    0.02,   0.110,   0.000,     0.0,       0.000,    0.00,              "none"
04/06/1964, 23473,       8,    0.00,       0,       0,     0.00,     0.00,    0.00,   95.69, -0.0500,    0.00,  377.00,    2.90,   -1.10,    2.90,     0.000,     0.000,  0.0000,  0.0000,  0.0000,  0.0000,    0.000,    0.0094,    0.0000,    0.0000,    0.0075,    0.0000,   0.275,   0.165,    0.00,    0.15,    0.00,    0.02,   0.110,   0.000,     0.0,       0.000,    0.00,              "none"
04/06/1964, 23473,       9,    0.00,       0,       0,     0.00,     0.00,    0.00,   98.00, -0.0500,    0.00,  498.00,    5.03,   -1.70,    5.03,     0.000,     0.000,  0.0000,  0.0000,  0.0000,  0.0000,    0.000,    0.0094,    0.0000,    0.0000,    0.0075,    0.0000,   0.275,   0.165,    0.00,    0.15,    0.00,    0.02,   0.110,   0.000,     0.0,       0.000,    0.00,              "none"
